secr_trapID,Easting,Northing,1,2,3,4
1,361841,5905356,1,1,1,1
2,362095,5908526,1,1,1,1
3,360847,5910861,1,1,1,1
4,361961,5917502,1,1,1,1
5,359014,5918599,1,1,1,1
6,360539,5924006,1,1,1,1
7,360301,5927921,1,1,1,1
8,362545,5931056,1,1,1,1
9,363135,5934511,1,1,1,1
10,362513,5940241,1,1,1,1
11,363289,5905631,1,1,1,1
12,363911,5908657,1,1,1,1
13,362883,5910311,1,1,1,1
14,366047,5914807,1,1,1,1
15,365208,5919336,1,1,1,1
16,365616,5924531,1,1,1,1
17,365677,5928447,1,1,1,1
18,367297,5931483,1,1,1,1
19,367115,5934288,1,1,1,1
20,368148,5898685,1,1,1,1
21,369053,5902980,1,1,1,1
22,366859,5907860,1,1,1,1
23,370521,5909413,1,1,1,1
24,369026,5914726,1,1,1,1
25,367961,5920705,1,1,1,1
26,370286,5922440,1,1,1,1
27,368804,5927690,1,1,1,1
28,369426,5931879,1,1,1,1
29,370813,5936493,1,1,1,1
30,370903,5938042,1,1,1,1
31,372531,5900276,1,1,1,1
32,373735,5904984,1,1,1,1
33,373874,5908221,1,1,1,1
34,371578,5911081,1,1,1,1
35,371541,5913761,1,1,1,1
36,373511,5917067,1,1,1,1
37,373569,5921283,1,1,1,1
38,373730,5927892,1,1,1,1
39,374030,5931098,1,1,1,1
40,373986,5936412,1,1,1,1
41,373620,5937347,1,1,1,1
42,374561,5899985,1,1,1,1
43,376382,5902538,1,1,1,1
44,376254,5905427,1,1,1,1
45,376308,5911240,1,1,1,1
46,376713,5914627,1,1,1,1
47,377116,5917886,1,1,1,1
48,377043,5921548,1,1,1,1
49,378399,5926437,1,1,1,1
50,377400,5930460,1,1,1,1
51,378500,5936590,1,1,1,1
52,378388,5938334,1,1,1,1
53,379044,5898362,1,1,1,1
54,379862,5901588,1,1,1,1
55,381598,5907854,1,1,1,1
56,379376,5909670,1,1,1,1
57,378962,5914518,1,1,1,1
58,381641,5918210,1,1,1,1
59,382719,5923624,1,1,1,1
60,381461,5927167,1,1,1,1
61,382295,5931445,1,1,1,1
62,382160,5933748,1,1,1,1
63,380614,5940409,1,1,1,1
64,384876,5933608,1,1,1,1
