sessionID,individualID_2016,occasionID_2016,secr_trapID,sex
1,2,1,50,F
1,3,1,32,F
1,3,1,42,F
1,4,1,50,M
1,5,1,50,F
1,6,1,14,F
1,9,1,35,M
1,11,1,42,M
1,14,1,43,F
1,15,1,45,F
1,17,1,62,M
1,17,1,64,M
1,20,1,38,M
1,21,1,41,F
1,1,2,49,F
1,3,2,32,F
1,4,2,51,M
1,5,2,40,F
1,10,2,19,F
1,11,2,42,M
1,11,2,43,M
1,16,2,49,F
1,16,2,60,F
1,17,2,61,M
1,17,2,62,M
1,17,2,64,M
1,19,2,33,F
1,21,2,41,F
1,22,2,52,M
1,7,3,12,F
1,8,3,34,F
1,11,3,22,M
1,17,3,62,M
1,22,3,52,M
1,23,3,33,F
1,24,3,41,M
1,4,4,50,M
1,12,4,12,M
1,13,4,34,M
1,13,4,36,M
1,15,4,45,F
1,17,4,62,M
1,18,4,49,F
